"X","Overall","G0","G1","G2","M","S"
"RF",1.31322407985398,1.45162393342592,1.03893127922709,1.40820732903381,3.39851502347196,1.39382215745764
"0.2 MP decision tree",1.93263429000442,2.08061685919997,1.63627608186588,2.40180491337171,8.13661965073963,1.60367295686495
"0.5 MP decision tree",1.45683474378295,1.6151182237927,1.20245193440771,1.53969596091119,5.52434745808662,1.40913186205783
"XGBoost",1.36781850029207,1.49031826515812,1.15188350521626,1.38528978047335,3.43715018308434,1.44372382198047
"0.2 MP boosting",3.78148939979013,3.86679089133398,3.16352281088064,6.33341473578882,9.4646343672736,2.42473942238178
"0.5 MP boosting",3.51854022536821,3.5923827937408,2.96421679167736,5.85441013829667,8.5857549449485,2.29029493913346
"MLP",1.60333809094559,1.62854997289953,1.30895495361547,1.81508679328117,8.50517195469718,1.41762228154327
"0.2 MP mlp",2.54545691690462,2.68669348649051,2.12542961152094,3.56566690230453,8.69426764042662,2.06522330619806
"0.5 MP mlp",1.70857989301572,1.74812421739746,1.35567643302783,1.91946995060574,9.26175270882826,1.53110409698145
