0,1,lower_bound,upper_bound,score,feature_name
0.0,0.0,0.020438344399729406,0.03153828778408371,0.02598831609190656,E2F1 (nucleus)
0.0,0.0,0.05296595552135132,0.07623786042668203,0.06460190797401667,cycA (nucleus)
9.619349761180729e-11,1.9238699522361458e-10,0.006595365598064326,0.01953822973095454,0.013066797664509433,cycD1 (nucleus)
1.8372754428952476e-07,3.674550885790495e-07,0.0032049957727533097,0.012303409044120667,0.007754202408436988,p21 (nucleus)
4.5758086208991244e-10,9.151617241798249e-10,0.0096608552385059,0.02982587117956264,0.01974336320903427,Int_Intg_DNA_nuc
0.0,0.0,0.009519881964469519,0.016567830904372655,0.013043856434421087,Skp2 (nucleus)
3.132722147025646e-06,6.265444294051292e-06,0.0015006718449803087,0.006756652582053926,0.004128662213517117,Cdt1 (nucleus)
0.0,0.0,0.01478132515968047,0.030970566135655624,0.022875945647668046,Nuc.area
0.0,0.0,0.054928876228204235,0.08118641699304745,0.06805764661062584,Cdh1 (nucleus)
0.0,0.0,0.01399820239398248,0.024480546598566348,0.019239374496274414,cycE (nucleus)
0.00019388588070357038,0.00038777176140714076,0.0012644979079601431,0.008386406577741435,0.004825452242850789,PCNA (nucleus)
0.043020406849388015,0.08604081369877603,2.846571566915597e-05,0.0051663273892761695,0.0025973965524726628,pH2AX (nucleus)
1.0,1.0,-0.0012715086990769068,0.003162318344802925,0.0009454048228630091,cMyc (nucleus)
0.0,0.0,0.01797123289657937,0.03166127967365732,0.024816256285118344,RB (nucleus)
8.507903270782435e-10,1.701580654156487e-09,0.0012903338000783574,0.00405507723171657,0.0026727055158974637,cycB1..cell.median.
1.0,1.0,-0.0013150522882205413,0.0011119112792345033,-0.00010157050449301891,cycB1 (cytoplasm)
1.0,1.0,-0.001487356744801098,0.0011622418138063544,-0.0001625574654973719,cycB1..PN.median.
1.0,1.0,-0.0009501424475062419,0.001693684671896707,0.00037177111219523256,pRB (nucleus)
0.0,0.0,0.002149776187028915,0.005340050589792445,0.00374491338841068,cycB1 (nucleus)
1.0,1.0,-0.0010225138771422155,0.0017858634953429834,0.000381674809100384,p27 (nucleus)
1.0096477653931402e-08,2.0192955307862803e-08,0.0013727997660976218,0.0046748765496853455,0.003023838157891484,ERK (nucleus)
1.0,1.0,-0.0021947554160934033,0.00034884256666628457,-0.0009229564247135593,pp53 (nucleus)
1.0,1.0,-0.0019415865324552588,0.0005712238966339084,-0.0006851813179106752,S6 (nucleus)
1.0,1.7172252597674742e-07,-0.003615911105382451,-0.0009752704960198301,-0.0022955908007011405,cycB1..PM.median.
0.7666272788250763,1.0,-0.0006862955941108794,0.005435671179752198,0.0023746877928206593,pp21 (nucleus)
0.00035939787246785926,0.0007187957449357185,0.000752516774151005,0.005456049468910311,0.003104283121530658,CDK2 (nucleus)
0.0,0.0,0.02704390535375441,0.049251459306452416,0.03814768233010341,CDK4 (nucleus)
0.003585453448664344,0.007170906897328688,0.0004629689363759371,0.005587534312697086,0.0030252516245365116,DNA (nucleus)
0.8567126103270035,1.0,-0.00032630753819334565,0.002456772267336105,0.0010652323645713795,cFos (nucleus)
0.00025325231534778503,0.0005065046306955701,0.0005457436416713133,0.003755958454387234,0.0021508510480292738,Cell.area
1.0,0.022184255142284837,-0.0027725456860322184,-0.0001401745021901294,-0.001456360094111174,Fra1..PM.median.
1.0,0.37277131139061526,-0.0023906180354843955,0.0001285117555096197,-0.001131053139987388,CDK6 (nucleus)
1.0,1.0,-0.001884585861468195,0.0011589678699454916,-0.0003628089957613517,p16 (nucleus)
1.0,1.0,-0.0014248698685602268,0.0011050186337843875,-0.00015992561738791962,cycD1 (cytoplasm)
1.0,1.0,-0.0015230895898348334,0.0015412997322978923,9.1050712315295e-06,GSK3b (nucleus)
1.0,1.0,-0.0014949710745582637,0.0014336071740307002,-3.0681950263781894e-05,p38 (nucleus)
1.0,0.0771865568811978,-0.0025954686125177736,-2.444788699965247e-05,-0.001309958249758713,CDK2 (cytoplasm)
