0,1,lower_bound,upper_bound,score,feature_name
0.0,0.0,0.0247405163946528,0.03595214833720053,0.030346332365926664,E2F1 (nucleus)
0.0,0.0,0.05206744014111641,0.07455243668592931,0.06330993841352286,cycA (nucleus)
0.0014325123676959262,0.0028650247353918523,0.0016070746561889383,0.015113736421315813,0.008360405538752376,cycD1 (nucleus)
1.2291940798547785e-09,2.458388159709557e-09,0.004490110500766357,0.01426623674039568,0.009378173620581019,p21 (nucleus)
0.0,0.0,0.015771411957469443,0.038393391638856876,0.02708240179816316,Int_Intg_DNA_nuc
0.0,0.0,0.015656924779243235,0.026335415623926328,0.02099617020158478,Skp2 (nucleus)
1.527185944372178e-07,3.054371888744356e-07,0.0023082530216471326,0.008784157480110421,0.005546205250878777,Cdt1 (nucleus)
0.0,0.0,0.033876228662245475,0.0488915591303614,0.04138389389630344,Nuc.area
0.0,0.0,0.0596612767729323,0.08883766334811168,0.07424947006052199,Cdh1 (nucleus)
0.0,0.0,0.024186678000916867,0.03681030880220917,0.030498493401563017,cycE (nucleus)
0.333084658884538,0.666169317769076,-0.0004420141611391538,0.0054366071941227175,0.0024972965164917816,PCNA (nucleus)
0.09266241962617516,0.18532483925235033,-0.000166268311881984,0.006962024681977741,0.003397878185047878,pH2AX (nucleus)
1.0,1.0,-0.0009797619406292568,0.005002876555301265,0.002011557307336004,cMyc (nucleus)
0.0,0.0,0.024658993659868133,0.03932092369737628,0.031989958678622206,RB (nucleus)
1.0,1.0,-0.001406420210999456,0.0026338944955846266,0.0006137371422925854,cycB1..cell.median.
1.0,1.0,-0.002711496319485825,0.0015133129686406045,-0.0005990916754226101,cycB1 (cytoplasm)
0.2075710578840455,0.415142115768091,-0.0002269170575590492,0.0038681777972485614,0.0018206303698447561,cycB1..PN.median.
1.0,1.0,-0.001512216190466202,0.0028452448034539876,0.0006665143064938927,pRB (nucleus)
0.14713213355403543,0.29426426710807085,-0.00018165221230978914,0.004197379828762483,0.002007863808226347,cycB1 (nucleus)
1.0,1.0,-0.000995502148965035,0.0031621634314213786,0.0010833306412281719,p27 (nucleus)
1.0,0.3929985174634445,-0.003962703356342642,0.00022252061354258016,-0.0018700913714000307,ERK (nucleus)
1.8200263518508564e-10,3.640052703701713e-10,0.0021702990763697084,0.006535184288756848,0.004352741682563278,pp53 (nucleus)
1.0,1.0,-0.0016387271548162408,0.0026253725408623583,0.0004933226930230589,S6 (nucleus)
1.0,1.0,-0.002404536075468227,0.0017883544886496926,-0.0003080907934092672,cycB1..PM.median.
0.05419435585479859,0.10838871170959719,-1.752300011977851e-05,0.005841363272786341,0.002911920136333281,pp21 (nucleus)
0.0020350751927951105,0.004070150385590221,0.0006059148991859205,0.00620748207713411,0.0034066984881600156,CDK2 (nucleus)
0.0,0.0,0.03283175457401621,0.056288661496881214,0.04456020803544871,CDK4 (nucleus)
0.0,0.0,0.005045672933389802,0.011561625345743001,0.008303649139566402,DNA (nucleus)
1.0,1.0,-0.0026707020609736515,0.0016234770029261163,-0.0005236125290237677,cFos (nucleus)
0.004446743009055343,0.008893486018110686,0.00035170692810615294,0.004566940076210216,0.0024593235021581846,Cell.area
1.0,1.0,-0.0012085759478454297,0.002980979781184812,0.0008862019166696911,Fra1..PM.median.
1.0,1.0,-0.0032165783161530277,0.001019974549335516,-0.001098301883408756,CDK6 (nucleus)
0.6283570450329907,1.0,-0.00044332133128547734,0.0038592913827619315,0.001707985025738227,p16 (nucleus)
1.0,1.0,-0.0006885386570216858,0.003429047221690299,0.0013702542823343068,cycD1 (cytoplasm)
0.6707368074810098,1.0,-0.00047119047156531156,0.003974335111136254,0.0017515723197854712,GSK3b (nucleus)
7.768229426985407e-05,0.00015536458853970814,0.0008899272657169224,0.005277585674712242,0.003083756470214582,p38 (nucleus)
1.0,1.0,-0.0028855860642066906,0.0014458356931186466,-0.0007198751855440221,CDK2 (cytoplasm)
1.0,1.0,-0.0021788939041821965,0.0020816450929192435,-4.862440563147633e-05,Skp2..PM.median.
0.8760009043943984,1.0,-0.0005055480898133143,0.003768453317592034,0.00163145261388936,cycA..cell.median.
0.4513532317859925,0.902706463571985,-0.00036668318910860944,0.0037849759993215434,0.001709146405106467,Skp2..cell.median.
1.0,1.0,-0.0014864358384322587,0.0027304143037618954,0.0006219892326648185,cycA..PN.median.
1.0,1.0,-0.0031102308561026535,0.0012407650748591183,-0.0009347328906217677,cycD1..cell.median.
1.0,1.0,-0.0009064905953413754,0.00328053755415584,0.0011870234794072324,pp65 (nucleus)
1.0,1.0,-0.0012555051584070371,0.0032414233670226417,0.0009929591043078023,YAP (nucleus)
1.0,1.0,-0.0036086509782723014,0.0004495452955622786,-0.0015795528413550114,pSTAT3 (nucleus)
0.0004919909016725121,0.0009839818033450243,0.0006474667989531855,0.004938559715872173,0.0027930132574126793,CDK2..cell.median.
1.0,1.0,-0.0012259696197535548,0.002889309544741176,0.0008316699624938105,E2F1..cell.median.
1.0,1.0,-0.0013707691811728972,0.0027363326443190237,0.0006827817315730631,Cyto.area
1.0,1.0,-0.001498999208489254,0.0029168708275653884,0.0007089358095380671,Nuc.shape
1.0,1.0,-0.0006811706015706367,0.003261604146933873,0.0012902167726816182,DNA..PM.median.
1.0,1.0,-0.0026786629854570624,0.001538783529490317,-0.0005699397279833728,p53 (nucleus)
0.3179773870739493,0.6359547741478986,-0.0003812919282940013,0.004826594686240613,0.002222651378973306,pCHK1 (nucleus)
1.0,0.0009836067078690114,-0.00496722631938617,-0.0006512668328755304,-0.0028092465761308505,cycE..PM.median.
1.0,0.6768268460278106,-0.003805477737366971,0.0003124141519981812,-0.0017465317926843949,CDK2..PM.median.
1.0,1.0,-0.0025084773342029638,0.0017301165589073033,-0.00038918038764783016,cMyc..PM.median.
1.0,1.0,-0.0005220343981841595,0.0036368686012169995,0.00155741710151642,pAKT..cell.median.
1.0,1.0,-0.003086791008641129,0.0010760442705088568,-0.0010053733690661359,Cdt1..PN.median.
1.0,1.0,-0.0018975743073503058,0.002411287669573133,0.0002568566811114136,Cdh1..PN.median.
1.0,1.0,-0.0024421539515400376,0.0016080555020032885,-0.00041704922476837466,pERK..cell.median.
1.0,1.0,-0.0006757652148034214,0.003661075700361476,0.0014926552427790274,cycA (cytoplasm)
1.0,1.0,-0.0011645788369563025,0.0029637238557455358,0.0008995725093946165,cJun..PM.median.
1.0,1.0,-0.002984620529096214,0.0012022456017131982,-0.0008911874636915077,pp38..PM.median.
1.0,1.0,-0.0021598345334560656,0.002279556049037829,5.9860757790881836e-05,pp38 (nucleus)
1.0,1.0,-0.0028917817147961857,0.0012761886265643028,-0.0008077965441159416,pERK..PM.median.
1.0,1.0,-0.0021239512921303223,0.0019352794530692588,-9.433591953053185e-05,YAP..PM.median.
1.0,1.0,-0.002679127546114724,0.0013856115766229912,-0.0006467579847458663,pS6..PM.median.
1.0,1.0,-0.0014122004312858666,0.0027675166074868775,0.0006776580881005056,E2F1 (cytoplasm)
1.0,1.0,-0.002689969522595374,0.0012308063460993337,-0.0007295815882480203,p53..PM.median.
