"X","Overall","G0","G1","G2","M","S"
"RF",1.31322407985398,1.45162393342592,1.03893127922709,1.40820732903381,3.39851502347196,1.39382215745764
"0.2 MP decision tree",1.93263429000442,2.08061685919997,1.63627608186588,2.40180491337171,8.13661965073963,1.60367295686495
"0.5 MP decision tree",1.45683474378295,1.6151182237927,1.20245193440771,1.53969596091119,5.52434745808662,1.40913186205783
"XGBoost",1.36781850029207,1.49031826515812,1.15188350521626,1.38528978047335,3.43715018308434,1.44372382198047
"0.2 MP boosting",3.78148939979013,3.86679089133398,3.16352281088064,6.33341473578882,9.4646343672736,2.42473942238178
"0.5 MP boosting",3.51854022536821,3.5923827937408,2.96421679167736,5.85441013829667,8.5857549449485,2.29029493913346
"MLP",1.69815177392843,1.69407044343811,1.43143050000611,1.97307902534756,8.82211252108177,1.46391862745885
"0.2 MP mlp",1.88724316556534,1.95962971991014,1.52122574433282,2.4357512794318,8.69589843150472,1.59247448107557
"0.5 MP mlp",1.45561729482238,1.53321832726389,1.0718033641567,1.55576469669293,8.42260617621644,1.34030258663489
