,Overall,G0,G1,G2,M,S
RF,1.3132240798539798,1.4516239334259229,1.0389312792270935,1.4082073290338126,3.398515023471962,1.3938221574576437
Decision Tree MP,1.3851126683809083,1.5302005836045929,1.127119630358841,1.4640873672578951,4.762807421730115,1.3915544273941078
XGBoost,1.3678185002920673,1.4903182651581175,1.1518835052162566,1.3852897804733544,3.4371501830843374,1.4437238219804691
Boosting MP,1.438842848212246,1.562349412268239,1.1819714680289464,1.486555002361857,5.136084255314298,1.4608941143976306
MLP,1.6033380909455868,1.6285499728995252,1.308954953615474,1.81508679328117,8.505171954697179,1.41762228154327
MLP MP,1.6352725809118396,1.6457026935464485,1.3321848062153683,1.7828238608970877,8.719229964527058,1.4956757485912109
